species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	KRT16	Keratinocytes	NEPPK	0.005	keratin 16	protein-coding gene	NA	Mesoderm	Skin	0.4	0.605505	0.00722816	0.000323081
Mm Hs	KRT17	Keratinocytes	PCHC1	0.025	keratin 17	protein-coding gene	1	Mesoderm	Skin	1.0	0.733945	0.071653	0.0106617
Mm Hs	LAMA5	Keratinocytes	NA	0.008	laminin subunit alpha 5	protein-coding gene	NA	Mesoderm	Skin	0.0	0.100917	0.0122564	0.00710778
Mm Hs	LCN2	Keratinocytes	NGAL|24p3	0.043	lipocalin 2	protein-coding gene	1	Mesoderm	Skin	0.3	0.0642202	0.0559397	0.0416128
Mm Hs	PLEC	Keratinocytes	PLTN|EBS1|PLEC1	0.056	plectin	protein-coding gene	1	Mesoderm	Skin	0.0	0.733945	0.030484	0.0580253
Hs	PI3	Keratinocytes	ESI|SKALP|ELAFIN|WAP3|WFDC14|cementoin	0.003	peptidase inhibitor 3	protein-coding gene	NA	Mesoderm	Skin	0.3	0.0	0.0201131	0.0
Mm Hs	SPRR1A	Keratinocytes	NA	0.004	small proline rich protein 1A	protein-coding gene	1	Mesoderm	Skin	0.2	0.0	0.000314268	0.0
Mm Hs	SPRR1B	Keratinocytes	GADD33|SPRR1	0.002	small proline rich protein 1B	protein-coding gene	1	Mesoderm	Skin	0.3	0.0	0.00439975	0.0
Mm Hs	GJB3	Keratinocytes	CX31|EKV	0.008	gap junction protein beta 3	protein-coding gene	1	Mesoderm	Skin	0.2	0.137615	0.00942803	0.00710778
Mm Hs	IRF3	Keratinocytes	NA	0.019	interferon regulatory factor 3	protein-coding gene	1	Mesoderm	Skin	0.0	0.165138	0.0188561	0.0153787
Mm Hs	LAMC2	Keratinocytes	nicein-100kDa|kalinin-105kDa|BM600-100kDa|EBR2|LAMB2T|LAMNB2|EBR2A	0.012	laminin subunit gamma 2	protein-coding gene	1	Mesoderm	Skin	0.0	0.412844	0.0226273	0.00723701
Mm Hs	SIRT7	Keratinocytes	NA	0.025	sirtuin 7	protein-coding gene	1	Mesoderm	Skin	0.2	0.0	0.014142	0.0
Mm Hs	RIPK4	Keratinocytes	DIK|ANKK2|RIP4|PKK|ANKRD3	0.005	receptor interacting serine/threonine kinase 4	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0	0.0
Mm Hs	REL	Keratinocytes	I-Rel|c-Rel	0.03	REL proto-oncogene, NF-kB subunit	protein-coding gene	1	Mesoderm	Skin	0.3	0.0	0.0367693	0.0
Mm Hs	IL13RA1	Keratinocytes	IL-13Ra|NR4|CD213a1	0.016	interleukin 13 receptor subunit alpha 1	protein-coding gene	1	Mesoderm	Skin	0.1	0.311927	0.0289126	0.0113078
Mm Hs	SGPP1	Keratinocytes	NA	0.011	sphingosine-1-phosphate phosphatase 1	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.000628536	0.0
Mm Hs	PKP3	Keratinocytes	NA	0.021	plakophilin 3	protein-coding gene	1	Mesoderm	Skin	0.2	0.761468	0.0282841	0.0139571
Mm Hs	PKP1	Keratinocytes	B6P	0.006	plakophilin 1	protein-coding gene	1	Mesoderm	Skin	0.2	0.770642	0.00439975	0.00174464
Mm Hs	ANXA8	Keratinocytes	ANX8	0.008	annexin A8	protein-coding gene	NA	Mesoderm	Skin	0.0	0.798165	0.00157134	0.00355389
Mm Hs	TRIM29	Keratinocytes	FLJ36085	0.009	tripartite motif containing 29	protein-coding gene	1	Mesoderm	Skin	0.2	0.0	0.00817096	0.0
Mm Hs	DSC3	Keratinocytes	CDHF3|DSC|DSC1|DSC2|DSC4	0.006	desmocollin 3	protein-coding gene	1	Mesoderm	Skin	0.2	0.752294	0.00534255	0.000581546
Mm Hs	FST	Keratinocytes	NA	0.02	follistatin	protein-coding gene	1	Mesoderm	Skin	0.0	0.0917431	0.0358265	0.0147971
Mm Hs	AQP3	Keratinocytes	GIL	0.025	aquaporin 3 (Gill blood group)	protein-coding gene	1	Mesoderm	Skin	0.6	0.798165	0.0694532	0.0104032
Mm Hs	KRT15	Keratinocytes	K15|CK15|K1CO	0.022	keratin 15	protein-coding gene	1	Mesoderm	Skin	0.7	0.908257	0.0458831	0.0110494
Mm Hs	S100A14	Keratinocytes	BCMP84	0.03	S100 calcium binding protein A14	protein-coding gene	1	Mesoderm	Skin	0.7	0.0	0.0949089	0.0
Mm Hs	DMKN	Keratinocytes	ZD52F10	0.032	dermokine	protein-coding gene	1	Mesoderm	Skin	0.3	0.825688	0.0637964	0.0138279
Mm Hs	ENTPD2	Keratinocytes	NTPDase-2|CD39L1	0.012	ectonucleoside triphosphate diphosphohydrolase 2	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.000942803	0.0146679
Mm Hs	FGF5	Keratinocytes	NA	0.002	fibroblast growth factor 5	protein-coding gene	NA	Mesoderm	Skin	0.0	0.0	0.00754243	0.00155079
Mm Hs	NGFR	Keratinocytes	TNFRSF16|CD271|p75NTR	0.007	nerve growth factor receptor	protein-coding gene	1	Mesoderm	Skin	0.0	0.00917431	0.00219987	0.00743086
Mm Hs	TFAP2A	Keratinocytes	AP-2|TFAP2|AP2TF	0.023	transcription factor AP-2 alpha	protein-coding gene	1	Mesoderm	Skin	0.2	0.0	0.0194846	0.0
Mm Hs	LGALS7	Keratinocytes	TP53I1|LGALS7A	0.016	galectin 7	protein-coding gene	1	Mesoderm	Skin	0.2	0.899083	0.00282841	0.012794
Mm Hs	CXCL1	Keratinocytes	SCYB1|GROa|MGSA-a|NAP-3|MGSA|GRO1|FSP	0.032	C-X-C motif chemokine ligand 1	protein-coding gene	NA	Mesoderm	Skin	0.3	0.0458716	0.0449403	0.0304342
Mm Hs	CCL2	Keratinocytes	MCP1|MCP-1|MCAF|SMC-CF|GDCF-2|HC11|MGC9434|SCYA2	0.037	C-C motif chemokine ligand 2	protein-coding gene	1	Mesoderm	Skin	0.1	0.00917431	0.0647392	0.0320496
Mm Hs	SFN	Keratinocytes	YWHAS	0.051	stratifin	protein-coding gene	1	Mesoderm	Skin	0.5	0.0	0.0776241	0.0
Mm Hs	KRT10	Keratinocytes	K10|CK10|KPP	0.099	keratin 10	protein-coding gene	1	Mesoderm	Skin	0.6	0.458716	0.386864	0.0258465
Mm Hs	SBSN	Keratinocytes	UNQ698|HLAR698	0.003	suprabasin	protein-coding gene	1	Mesoderm	Skin	0.2	0.0	0.000314268	0.0
Mm Hs	KRT84	Keratinocytes	Hb-4|KRTHB4	0.001	keratin 84	protein-coding gene	1	Mesoderm	Skin	0.0	0.12844	0.0	0.0
Mm Hs	KRT36	Keratinocytes	KRTHA6	0.002	keratin 36	protein-coding gene	1	Mesoderm	Skin	0.0	0.293578	0.0	0.000193849
Mm Hs	OSR1	Kidney progenitor cells	NA	0.011	odd-skipped related transciption factor 1	protein-coding gene	NA	Mesoderm	Kidney	0.0	1.0	0.00156691	0.0126436
Mm Hs	PAX2	Kidney progenitor cells	NA	0.002	paired box 2	protein-coding gene	NA	Mesoderm	Kidney	1.0	0.75	0.00313381	0.00147616
Mm Hs	EYA1	Kidney progenitor cells	NA	0.001	EYA transcriptional coactivator and phosphatase 1	protein-coding gene	NA	Mesoderm	Kidney	1.0	0.75	0.00125353	0.00121943
Mm Hs	WT1	Kidney progenitor cells	WIT-2|AWT1|NPHS4|GUD	0.01	Wilms tumor 1	protein-coding gene	NA	Mesoderm	Kidney	1.0	0.0	0.0222501	0.0
Mm Hs	SIX2	Kidney progenitor cells	NA	0.001	SIX homeobox 2	protein-coding gene	NA	Mesoderm	Kidney	0.0	0.0	0.00188029	0.0
Mm Hs	SALL1	Kidney progenitor cells	Hsal1|ZNF794|TBS	0.004	spalt like transcription factor 1	protein-coding gene	NA	Mesoderm	Kidney	0.0	0.0	0.0	0.0
Mm Hs	CITED1	Kidney progenitor cells	MSG1	0.023	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1	protein-coding gene	NA	Mesoderm	Kidney	1.0	1.0	0.0156691	0.0243245
Mm Hs	TNF	Kupffer cells	TNFSF2|DIF|TNF-alpha|TNFA	0.008	tumor necrosis factor	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.00125313	0.0
Hs	LYZ	Kupffer cells	NA	0.008	lysozyme	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0407268	0.0
Mm Hs	MPO	Kupffer cells	NA	0.023	myeloperoxidase	protein-coding gene	NA	Mesoderm	Liver	0.0	0.0	0.0206767	0.0231467
Mm Hs	VSIG4	Kupffer cells	Z39IG	0.005	V-set and immunoglobulin domain containing 4	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0134712	0.0
Mm Hs	PROK2	Kupffer cells	PK2|BV8|MIT1|KAL4	0.003	prokineticin 2	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.00438596	0.00237896
Mm Hs	STARD5	Kupffer cells	MGC10327	0.006	StAR related lipid transfer domain containing 5	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0	0.0
Mm Hs	MSR1	Kupffer cells	SCARA1|CD204|SR-AI|SR-AII|SR-AIII|SR-A	0.012	macrophage scavenger receptor 1	protein-coding gene	1	Mesoderm	Liver	0.0	0.625	0.0109649	0.0108018
Mm Hs	TLR9	Kupffer cells	CD289	0.0	toll like receptor 9	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0	0.0
Mm Hs	PPARA	Kupffer cells	hPPAR|NR1C1|PPAR	0.001	peroxisome proliferator activated receptor alpha	protein-coding gene	NA	Mesoderm	Liver	0.0	0.0	0.00250627	0.000707259
Mm Hs	TREM1	Kupffer cells	TREM-1|CD354	0.003	triggering receptor expressed on myeloid cells 1	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.00125313	0.0
Mm Hs	SLC11A1	Kupffer cells	NRAMP|NRAMP1	0.017	solute carrier family 11 member 1	protein-coding gene	NA	Mesoderm	Liver	0.0	0.0	0.00657895	0.0
Mm Hs	TLR4	Kupffer cells	hToll|CD284|TLR-4|ARMD10	0.0	toll like receptor 4	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.000313283	0.0
Mm Hs	MMP13	Kupffer cells	CLG3	0.003	matrix metallopeptidase 13	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0	0.00334341
Mm Hs	CD14	Kupffer cells	NA	0.051	CD14 molecule	protein-coding gene	1	Mesoderm	Liver	0.0	0.25	0.0266291	0.0551019
Mm Hs	VDR	Kupffer cells	NR1I1|PPP1R163	0.011	vitamin D receptor	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.00250627	0.0
Mm Hs	CHIT1	Kupffer cells	CHIT|CHI3	0.003	chitinase 1	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.00125313	0.00392207
Mm Hs	OSM	Kupffer cells	MGC20461	0.007	oncostatin M	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0	0.00842281
Mm Hs	PPARD	Kupffer cells	NUC1|NUCII|FAAR|NR1C2	0.009	peroxisome proliferator activated receptor delta	protein-coding gene	NA	Mesoderm	Liver	0.0	0.0	0.0018797	0.0104803
Mm Hs	CLEC4F	Kupffer cells	FLJ39110|KCLR	0.003	C-type lectin domain family 4 member F	protein-coding gene	1	Mesoderm	Liver	0.0	0.96875	0.0	0.00160741
Mm Hs	ADGRE1	Kupffer cells	TM7LN3|EMR1	0.033	adhesion G protein-coupled receptor E1	protein-coding gene	1	Mesoderm	Liver	0.0	0.96875	0.000626566	0.0394136
Mm Hs	IL1B	Kupffer cells	IL1F2|IL-1B|IL1-BETA	0.027	interleukin 1 beta	protein-coding gene	NA	Mesoderm	Liver	0.0	0.21875	0.0253759	0.0273259
Mm Hs	SLC40A1	Kupffer cells	MTP1|IREG1|FPN1|HFE4|SLC11A3	0.033	solute carrier family 40 member 1	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.035401	0.0
Hs	G6PD	Kupffer cells	G6PD1	0.011	glucose-6-phosphate dehydrogenase	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0466792	0.0
Mm	FCNA	Kupffer cells	NA	0.007	ficolin A	protein coding gene	1	Mesoderm	Liver	0.0	0.96875	0.0	0.00649392
Mm Hs	TIMD4	Kupffer cells	NA	0.006	T cell immunoglobulin and mucin domain containing 4	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0238095	0.0
Mm Hs	MNDA	Kupffer cells	PYHIN3	0.019	myeloid cell nuclear differentiation antigen	protein-coding gene	NA	Mesoderm	Liver	0.0	0.1875	0.0460526	0.0127307
Mm Hs	SLC15A3	Kupffer cells	PHT2|hPTR3	0.016	solute carrier family 15 member 3	protein-coding gene	NA	Mesoderm	Liver	0.0	0.0	0.0075188	0.0
Mm Hs	DNASE1L3	Kupffer cells	DNAS1L3|LSD	0.015	deoxyribonuclease 1 like 3	protein-coding gene	1	Mesoderm	Liver	0.0	0.53125	0.0100251	0.0151739
Mm Hs	MARCO	Kupffer cells	SCARA2|SR-A6	0.003	macrophage receptor with collagenous structure	protein-coding gene	1	Mesoderm	Liver	0.0	0.4375	0.00407268	0.00225037
Mm	EAR2	Kupffer cells	NA	0.009	eosinophil-associated, ribonuclease A family, member 2	protein coding gene	1	Mesoderm	Liver	0.0	0.4375	0.0	0.00990163
Mm Hs	HFE	Kupffer cells	HLA-H	0.017	homeostatic iron regulator	protein-coding gene	1	Mesoderm	Liver	0.0	0.5	0.000313283	0.0203819
Mm Hs	CD38	Kupffer cells	NA	0.016	CD38 molecule	protein-coding gene	1	Mesoderm	Liver	0.0	0.5625	0.0140977	0.014981
Mm	ADGRE4	Kupffer cells	NA	0.004	adhesion G protein-coupled receptor E4	protein coding gene	1	Mesoderm	Liver	0.0	0.59375	0.0	0.00379348
Mm Hs	CD163	Kupffer cells	MM130|SCARI1	0.005	CD163 molecule	protein-coding gene	1	Mesoderm	Liver	0.0	0.5	0.00720551	0.00327911
Mm Hs	CCR5	Kupffer cells	CKR-5|CC-CKR-5|CKR5|CD195|IDDM22|CMKBR5	0.015	C-C motif chemokine receptor 5 (gene/pseudogene)	protein-coding gene	1	Mesoderm	Liver	0.0	0.625	0.0	0.0171028
Mm Hs	CLEC1B	Kupffer cells	CLEC2	0.003	C-type lectin domain family 1 member B	protein-coding gene	1	Mesoderm	Liver	0.0	0.75	0.00093985	0.001736
Mm	SIGLECF	Kupffer cells	NA	0.002	sialic acid binding Ig-like lectin F	protein coding gene	1	Mesoderm	Liver	NA	NA	NA	NA
Mm Hs	CLEC4G	Kupffer cells	UNQ431|LSECtin	0.001	C-type lectin domain family 4 member G	protein-coding gene	1	Mesoderm	Liver	0.0	0.09375	0.000313283	0.000707259
Mm Hs	GPIHBP1	Kupffer cells	LOC338328|GPI-HBP1	0.017	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	protein-coding gene	1	Mesoderm	Liver	0.0	0.09375	0.00469925	0.0194818
Mm Hs	FOLR2	Kupffer cells	NA	0.001	folate receptor beta	protein-coding gene	1	Mesoderm	Liver	0.0	0.03125	0.0037594	0.000257185
Mm Hs	PLTP	Kupffer cells	BPIFE	0.009	phospholipid transfer protein	protein-coding gene	1	Mesoderm	Liver	0.0	0.03125	0.0260025	0.0051437
Hs	FTL	Kupffer cells	MGC71996|NBIA3	0.178	ferritin light chain	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.938596	0.0
Mm Hs	IRF7	Kupffer cells	NA	0.033	interferon regulatory factor 7	protein-coding gene	1	Mesoderm	Liver	0.0	0.78125	0.0285088	0.0307336
Mm Hs	SPIC	Kupffer cells	MGC40611|SPI-C	0.002	Spi-C transcription factor	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.0	0.0
Mm Hs	CSF1R	Kupffer cells	C-FMS|CSFR|CD115|FMS	0.064	colony stimulating factor 1 receptor	protein-coding gene	1	Mesoderm	Liver	0.0	0.96875	0.0178571	0.074005
Mm Hs	C1QC	Kupffer cells	C1QG	0.066	complement C1q C chain	protein-coding gene	1	Mesoderm	Liver	0.0	1.0	0.0169173	0.0771555
Mm Hs	C1QA	Kupffer cells	NA	0.07	complement C1q A chain	protein-coding gene	1	Mesoderm	Liver	0.0	1.0	0.0241228	0.0804346
Mm Hs	C1QB	Kupffer cells	NA	0.071	complement C1q B chain	protein-coding gene	1	Mesoderm	Liver	0.0	1.0	0.0191103	0.0814634
Mm Hs	CLEC4E	Kupffer cells	mincle|CLECSF9	0.006	C-type lectin domain family 4 member E	protein-coding gene	1	Mesoderm	Liver	0.0	0.0	0.00250627	0.00610815
Mm Hs	ACHE	Langerhans cells	YT	0.016	acetylcholinesterase (Cartwright blood group)	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.00476493	0.0195701
Hs	CD1A	Langerhans cells	NA	0.0	CD1a molecule	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0	0.0
Hs	FCGR1A	Langerhans cells	CD64|CD64A	0.001	Fc fragment of IgG receptor Ia	protein-coding gene	NA	Mesoderm	Skin	0.0227273	0.0	0.00349428	0.0
Hs	HLA-DMA	Langerhans cells	D6S222E|RING6	0.022	major histocompatibility complex, class II, DM alpha	protein-coding gene	NA	Mesoderm	Skin	0.909091	0.0	0.112452	0.0
Hs	HLA-DMB	Langerhans cells	D6S221E|RING7	0.009	major histocompatibility complex, class II, DM beta	protein-coding gene	NA	Mesoderm	Skin	0.522727	0.0	0.0374841	0.0
Hs	HLA-DQA1	Langerhans cells	HLA-DQA	0.01	major histocompatibility complex, class II, DQ alpha 1	protein-coding gene	NA	Mesoderm	Skin	0.772727	0.0	0.0412961	0.0
Hs	HLA-DQA2	Langerhans cells	HLA-DXA	0.003	major histocompatibility complex, class II, DQ alpha 2	protein-coding gene	NA	Mesoderm	Skin	0.136364	0.0	0.0114358	0.0
Hs	HLA-DQB1	Langerhans cells	HLA-DQB	0.012	major histocompatibility complex, class II, DQ beta 1	protein-coding gene	NA	Mesoderm	Skin	0.795455	0.0	0.0546379	0.0
Hs	HLA-DQB2	Langerhans cells	HLA-DXB	0.0	major histocompatibility complex, class II, DQ beta 2	protein-coding gene	NA	Mesoderm	Skin	0.0227273	0.0	0.00158831	0.0
Hs	HLA-DQB3	Langerhans cells	D6S205|D6S205E|DVB|DQB3|HLA-DVB	0.0	major histocompatibility complex, class II, DQ beta 3	other	NA	Mesoderm	Skin	0.0	0.0	0.0	0.0
Hs	HLA-DRA	Langerhans cells	HLA-DRA1	0.039	major histocompatibility complex, class II, DR alpha	protein-coding gene	NA	Mesoderm	Skin	1.0	0.0	0.201398	0.0
Hs	HLA-DRB1	Langerhans cells	HLA-DR1B	0.033	major histocompatibility complex, class II, DR beta 1	protein-coding gene	NA	Mesoderm	Skin	1.0	0.0	0.168679	0.0
Hs	HLA-DRB5	Langerhans cells	NA	0.011	major histocompatibility complex, class II, DR beta 5	protein-coding gene	NA	Mesoderm	Skin	0.477273	0.0	0.0568615	0.0
Hs	HLA-DRB6	Langerhans cells	NA	0.002	major histocompatibility complex, class II, DR beta 6 (pseudogene)	pseudogene	NA	Mesoderm	Skin	0.227273	0.0	0.0108005	0.0
Hs	HLA-DRB9	Langerhans cells	D6S206|D6S206E|HLA-DRB1L|HLA-DR1BL	0.0	major histocompatibility complex, class II, DR beta 9 (pseudogene)	pseudogene	NA	Mesoderm	Skin	0.0	0.0	0.0	0.0
Mm Hs	CD207	Langerhans cells	Langerin|CLEC4K	0.001	CD207 molecule	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0	0.00147578
Mm Hs	EHF	Langerhans cells	ESE3|ESEJ	0.024	ETS homologous factor	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0520966	0.0193134
Mm Hs	PRKCB	Langerhans cells	PRKCB2|PKCB|PRKCB1	0.046	protein kinase C beta	protein-coding gene	1	Mesoderm	Skin	0.227273	0.0	0.0266836	0.049214
Mm Hs	AHR	Langerhans cells	bHLHe76	0.007	aryl hydrocarbon receptor	protein-coding gene	1	Mesoderm	Skin	0.0227273	0.0	0.0111182	0.00692974
Mm Hs	GPNMB	Langerhans cells	NMB|HGFIN	0.013	glycoprotein nmb	protein-coding gene	1	Mesoderm	Skin	0.318182	0.0	0.0257306	0.00943215
Mm Hs	EPCAM	Langerhans cells	Ly74|TROP1|GA733-2|EGP34|EGP40|EGP-2|KSA|CD326|Ep-CAM|HEA125|KS1/4|MK-1|MH99|MOC31|323/A3|17-1A|TACST-1|CO-17A|M4S1|MIC18|TACSTD1	0.117	epithelial cell adhesion molecule	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.17122	0.104203
Mm Hs	CD80	Langerhans cells	B7.1|B7-1|CD28LG|CD28LG1	0.0	CD80 molecule	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0	0.000192493
Mm Hs	PTPRC	Langerhans cells	T200|CD45	0.125	protein tyrosine phosphatase, receptor type C	protein-coding gene	1	Mesoderm	Skin	0.454545	0.0	0.212834	0.106192
Mm Hs	TLR2	Langerhans cells	TIL4|CD282	0.014	toll like receptor 2	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.000952986	0.0
Mm Hs	TLR4	Langerhans cells	hToll|CD284|TLR-4|ARMD10	0.0	toll like receptor 4	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.000317662	0.0
Mm Hs	TLR9	Langerhans cells	CD289	0.0	toll like receptor 9	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0	0.0
Hs	FCGR2A	Langerhans cells	CD32A|IGFR2|CDw32|FCGR2A1	0.002	Fc fragment of IgG receptor IIa	protein-coding gene	1	Mesoderm	Skin	0.0681818	0.0	0.00889454	0.0
Mm Hs	CCR6	Langerhans cells	CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196|STRL22	0.001	C-C motif chemokine receptor 6	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0	0.00186076
Mm	DEFB3	Langerhans cells	NA	0.0	defensin beta 3	protein coding gene	1	Mesoderm	Skin	0.0	0.0	0.0	0.0
Mm Hs	CLDN1	Langerhans cells	SEMP1|ILVASC	0.01	claudin 1	protein-coding gene	1	Mesoderm	Skin	0.0	0.0	0.0289072	0.00564646
Mm Hs	HSD11B2	Leydig cells	SDR9C3	0.004	hydroxysteroid 11-beta dehydrogenase 2	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.0	0.0109718	0.0026968
Mm Hs	MAFB	Leydig cells	KRML	0.053	MAF bZIP transcription factor B	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.0592477	0.0529087
Mm Hs	ALDH1A1	Leydig cells	RALDH1|PUMB1|ALDH1	0.039	aldehyde dehydrogenase 1 family member A1	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.909091	0.0880878	0.0281238
Mm Hs	SLC9A8	Leydig cells	KIAA0939|NHE8	0.001	solute carrier family 9 member A8	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.0	0.0	0.0
Mm Hs	KISS1	Leydig cells	NA	0.001	KiSS-1 metastasis suppressor	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.00344828	0.0
Mm Hs	PDE8A	Leydig cells	HsT19550	0.015	phosphodiesterase 8A	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.0909091	0.00376176	0.0181071
Mm Hs	LEP	Leydig cells	OBS	0.0	leptin	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.0	0.0
Mm Hs	CXCL10	Leydig cells	IFI10|IP-10|crg-2|mob-1|C7|gIP-10|INP10|SCYB10	0.009	C-X-C motif chemokine ligand 10	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.0100313	0.00892513
Mm Hs	PTCH1	Leydig cells	BCNS|NBCCS|PTCH	0.012	patched 1	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.181818	0.0191223	0.0109156
Mm Hs	GATA4	Leydig cells	NA	0.008	GATA binding protein 4	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.181818	0.00470219	0.00783357
Mm Hs	ACSBG1	Leydig cells	BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG	0.023	acyl-CoA synthetase bubblegum family member 1	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.909091	0.0	0.0279954
Mm Hs	INHA	Leydig cells	NA	0.006	inhibin subunit alpha	protein-coding gene	NA	Mesoderm	Reproductive	1.0	0.727273	0.0128527	0.00449467
Mm Hs	HSD3B1	Leydig cells	SDR11E1|HSDB3|HSD3B	0.001	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.818182	0.000626959	0.000770515
Mm Hs	DHCR7	Leydig cells	SLOS	0.018	7-dehydrocholesterol reductase	protein-coding gene	NA	Mesoderm	Reproductive	1.0	0.181818	0.015674	0.0152819
Mm Hs	CALB2	Leydig cells	CAL2	0.03	calbindin 2	protein-coding gene	NA	Mesoderm	Reproductive	1.0	0.0	0.00219436	0.0374984
Mm Hs	CYP17A1	Leydig cells	P450C17|CPT7|S17AH|CYP17	0.001	cytochrome P450 family 17 subfamily A member 1	protein-coding gene	1	Mesoderm	Reproductive	1.0	0.636364	0.00125392	0.000642096
Mm Hs	CYP11A1	Leydig cells	P450SCC|CYP11A	0.005	cytochrome P450 family 11 subfamily A member 1	protein-coding gene	1	Mesoderm	Reproductive	1.0	0.818182	0.00344828	0.00494414
Mm Hs	IGF1	Leydig cells	IGF1A|IGFI|IGF-I|IGF	0.044	insulin like growth factor 1	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.181818	0.00282132	0.0542571
Mm Hs	INSL3	Leydig cells	RLF|MGC119818|MGC119819|RLNL	0.001	insulin like 3	protein-coding gene	1	Mesoderm	Reproductive	1.0	0.545455	0.000940439	0.000192629
Mm Hs	NR5A2	Leydig cells	FTZ-F1beta|hB1F|FTZ-F1|hB1F-2|B1F2|LRH1|FTF	0.003	nuclear receptor subfamily 5 group A member 2	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.00031348	0.00372416
Mm Hs	LHCGR	Leydig cells	LHR|LCGR|LGR2|HHG	0.0	luteinizing hormone/choriogonadotropin receptor	protein-coding gene	1	Mesoderm	Reproductive	1.0	0.272727	0.0	0.000321048
Mm Hs	MLANA	Leydig cells	NA	0.002	melan-A	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.0	0.00166945
Mm Hs	RLN1	Leydig cells	NA	0.0	relaxin 1	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.0	0.0
Hs	RLN2	Leydig cells	RLXH2|bA12D24.1.1|bA12D24.1.2	0.001	relaxin 2	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.00658307	0.0
Mm Hs	RLN3	Leydig cells	ZINS4|RXN3	0.0	relaxin 3	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.0	0.0
Mm Hs	TAC1	Leydig cells	NPK|TAC2|NKNA	0.01	tachykinin precursor 1	protein-coding gene	NA	Mesoderm	Reproductive	0.0	0.0	0.00532915	0.0
Mm Hs	STAR	Leydig cells	StAR|STARD1	0.001	steroidogenic acute regulatory protein	protein-coding gene	1	Mesoderm	Reproductive	0.5	0.0	0.0	0.0
Mm Hs	THBS2	Leydig cells	TSP2	0.01	thrombospondin 2	protein-coding gene	1	Mesoderm	Reproductive	0.0	0.0	0.0031348	0.0
Mm Hs	PTGDS	Leydig cells	L-PGDS	0.054	prostaglandin D2 synthase	protein-coding gene	1	Mesoderm	Reproductive	1.0	0.181818	0.0576802	0.0550276
